id, Valina (g), Arginina (g), Histidina (g), Alanina (g), Ácido Aspártico (g), Ácido Glutâmico (g), Glicina (g), Prolina (g), Serina (g),
56, 0.50, 0.41, 0.18, 0.31, 0.54, 3.37, 0.30, 1.18, 0.47,
80, 0.04, 0.06, 0.02, 0.05, 0.05, 0.11, 0.04, 0.03, 0.03,
83, 0.05, 0.08, 0.02, 0.06, 0.05, 0.18, 0.05, 0.03, 0.04,
123, 0.02, 0.02, 0.04, 0.04, 0.09, 0.32, 0.01, 0.06, 0.01,
147, 0.06, 0.11, 0.02, 0.07, 0.27, 0.33, 0.05, 0.04, 0.06,
151, 0.07, 0.07, 0.04, 0.10, 0.17, 0.53, 0.06, 0.08, 0.08,
176, 0.03, 0.01, 0.03, 0.02, 0.08, 0.09, 0.00, 0.00, 0.03,
185, 0.03, 0.03, 0.01, 0.06, 0.07, 0.08, 0.02, 0.02, 0.02,
224, 0.00, 0.02, 0.03, 0.01, 0.04, 0.02, 0.00, 0.00, 0.03,
227, 0.01, 0.02, 0.04, 0.01, 0.01, 0.01, 0.01, 0.01, 0.03,
229, 0.02, 0.02, 0.01, 0.03, 0.03, 0.04, 0.02, 0.02, 0.02,
248, 0.01, 0.02, 0.00, 0.02, 0.03, 0.04, 0.01, 0.01, 0.01,
323, 0.79, 1.19, 0.77, 0.86, 1.36, 2.54, 0.76, 0.67, 0.64,
424, 0.66, 1.08, 0.48, 0.88, 1.18, 2.16, 1.00, 0.74, 0.60,
438, 0.74, 1.22, 0.91, 0.90, 1.41, 2.39, 0.81, 0.70, 0.68,
439, 0.72, 1.20, 0.89, 0.88, 1.37, 2.36, 0.73, 0.65, 0.68,
441, 0.48, 0.85, 0.50, 0.65, 1.00, 2.16, 0.51, 0.47, 0.45,
443, 1.30, 1.96, 1.30, 1.61, 2.34, 4.24, 1.55, 1.38, 1.15,
463, 1.77, 1.13, 0.86, 0.79, 1.76, 5.91, 0.55, 2.76, 1.50,
467, 1.47, 1.14, 0.84, 0.81, 1.66, 5.33, 0.56, 2.76, 1.54,
468, 0.07, 0.33, 0.03, 0.41, 0.23, 0.44, 0.99, 0.58, 0.09,
501, 0.34, 0.18, 0.07, 0.22, 0.44, 1.28, 0.09, 0.57, 0.28,
506, 0.01, 0.02, 0.04, 0.01, 0.05, 0.01, 0.02, 0.01, 0.04,
509, 0.26, 0.48, 0.06, 0.31, 0.36, 0.75, 0.16, 0.22, 0.36,
510, 0.01, 0.03, 0.06, 0.00, 0.16, 0.04, 0.02, 0.02, 0.05,
580, 0.58, 1.87, 0.25, 0.63, 1.80, 3.09, 0.91, 0.62, 0.69,
